metric,alpha_title,alpha_summary,alpha_tags,embed_dim,linucb_alpha,date_time,run_id,exp_id
6.53,0.2042270147316103,0.8440156661775007,0.6191935105494281,64.0,0.4482823271531229,2021-03-20 07:55:09.947522,0,0
6.65,0.6976543358501264,0.6204345040246643,0.4369972356733017,32.0,0.4395940546243999,2021-03-20 07:55:09.947522,1,0
7.74,0.15685720427360214,0.1173201275374397,0.8742679701880838,128.0,0.11392963090855356,2021-03-20 07:55:09.947522,2,0
6.79,0.8912797556732618,0.7906074504005308,0.3092183522181612,150.0,1.6062286062061353,2021-03-20 08:11:17.864302,0,1
6.99,0.27280493909774073,0.33404382722560755,0.32697721268140323,50.0,1.8885154979364969,2021-03-20 08:11:17.864302,1,1
6.76,0.4701962199461951,0.4962769993289439,0.44810939638833147,50.0,1.7609480961306192,2021-03-20 08:11:17.864302,2,1
7.19,0.4569520978277458,0.14071034077171762,0.6893464914271473,125.0,0.34067177835708784,2021-03-20 08:11:17.864302,3,1
6.54,0.9200117943457572,0.3926081677839116,0.39036443197954507,125.0,1.5097754226048208,2021-03-20 08:11:17.864302,4,1
6.37,0.2366034025416228,0.8827973327229198,0.479563162648435,150.0,0.8217415306389464,2021-03-20 08:18:56.216488,0,2
6.92,0.9047721041205676,0.5436434697182806,0.17151711299203054,150.0,0.5158776255478053,2021-03-20 08:18:56.216488,1,2
7.04,0.8048728519596406,0.16483357768443194,0.2269773196734892,50.0,1.5560934651678904,2021-03-20 08:18:56.216488,2,2
7.43,0.051039994392650834,0.20003345293181296,0.7670171630749355,50.0,0.5043200292373067,2021-03-20 08:18:56.216488,3,2
6.97,0.3766609885138186,0.8979587093425526,0.6459624330659917,150.0,1.5748079150156906,2021-03-20 08:18:56.216488,4,2
7.33,0.13727141980267454,0.5796539269690248,0.7967329019947205,150.0,0.0470226937461064,2021-03-20 08:32:27.774782,0,3
7.16,0.7436082903814406,0.6332898149225279,0.7131324719106052,150.0,0.07693098586834968,2021-03-20 08:32:27.774782,1,3
6.9,0.7083138827973626,0.4929326123769194,0.5128287385547925,100.0,0.16929817981327244,2021-03-20 08:32:27.774782,2,3
6.92,0.5627618166163232,0.8669970985977512,0.6733673317366233,75.0,0.04039931294569887,2021-03-20 08:32:27.774782,3,3
7.2,0.7123787188648496,0.37095629393494056,0.766366646721375,150.0,0.35683434352205995,2021-03-20 08:32:27.774782,4,3
6.43,0.3503601832234673,0.2405301655911793,0.07788501373579748,75.0,0.2417279329783608,2021-03-20 09:55:31.945809,0,4
6.365,0.02580928353120815,0.7373536598041065,0.7115126709295345,150.0,0.8058824065349357,2021-03-20 09:55:31.945809,1,4
7.21,0.33577022290032155,0.18050850687650852,0.5594819036086749,125.0,0.4667839105081977,2021-03-20 09:55:31.945809,2,4
5.815,0.9288687537837214,0.3247992903837413,0.30538848461246315,75.0,0.8250831635730561,2021-03-20 09:55:31.945809,3,4
6.435,0.04126022079651925,0.11200582338000677,0.9535763143549024,50.0,0.40808095267846256,2021-03-20 09:55:31.945809,4,4
6.855,0.6836215885252026,0.40728559871774417,0.7984331485435807,125.0,0.1407340663102703,2021-03-20 10:04:30.791113,0,5
5.81,0.703915655828191,0.06995763184909531,0.2663492671676224,150.0,0.3722657528236407,2021-03-20 10:04:30.791113,1,5
6.835,0.16577201977201406,0.5386804439988818,0.6056144459532717,125.0,0.1658568056546238,2021-03-20 10:04:30.791113,2,5
6.055,0.8828165209188711,0.17160950502769579,0.34677854569048616,100.0,0.3400478431551788,2021-03-20 10:04:30.791113,3,5
6.49,0.5754611444505121,0.6360641438954664,0.3609758497521526,125.0,0.951624185500406,2021-03-20 10:04:30.791113,4,5
